cantidad,eliminado,precio_compra,precio_venta,id,producto_id,nombre
9,false,1000.0,2000.0,1,1,SELLO
12,false,10000.0,12000.0,2,2,Botella
2,false,50000.0,60000.0,3,2,Six pack 
1,false,46750.0,72000.0,4,3,CAJA
1,false,650.0,1000.0,5,3,MAREOL
2,false,5300.0,10000.0,6,4,CAJA
1,false,530.0,1200.0,7,4,BLISTER
6,false,3000.0,6000.0,8,5,CAJA
5,false,5300.0,10000.0,9,6,CAJA
53,false,530.0,1200.0,10,6,BLISTER
5,false,6081.0,9000.0,11,7,TARRO
1,false,6081.0,13000.0,12,8,TARRO
1,false,2000.0,3500.0,13,9,TARRO 
2,false,6000.0,10000.0,14,10,TARRO 
5,false,4000.0,7000.0,15,11,TARRO
9,false,4000.0,7000.0,16,12,TARRO
1,false,7000.0,10000.0,17,13,TARRO
1,false,18000.0,26000.0,18,14,TARRO
1,false,9000.0,14000.0,19,15,TARRO
1,false,9000.0,13000.0,20,16,TARRO 
4,false,18000.0,23000.0,21,17,POTE 
1,false,10000.0,15000.0,22,18,POTE 
2,false,5930.0,8800.0,23,19,TUBO
8,false,2841.0,4000.0,24,20,TUBO
20,false,597.0,2000.0,25,21,PAQUETE
5,false,3797.0,6000.0,26,22,TARRO
5,false,5433.0,7000.0,27,23,TARRO 
12,false,1800.0,2600.0,28,24,SOBRE
12,false,471.0,1500.0,29,25,FRASCO
15,false,2980.0,4500.0,30,26,MAQUINA
10,false,2060.0,2500.0,31,27,CAPSULA
4,false,2780.0,3500.0,32,28,SOBRE
1,false,19100.0,25000.0,33,29,PAÑAL
1,false,20699.0,26500.0,34,30,PAÑAL
4,false,935.0,4000.0,35,31,PAQUETE
14,false,715.0,1300.0,36,32,SOBRE
13,false,810.0,1400.0,37,33,SOBRE
12,false,715.0,1300.0,38,34,SOBRE
8,false,2790.0,5000.0,39,35,POTE
25,false,814.0,1500.0,40,36,COJIN
12,false,688.0,1500.0,41,37,SOBRE
11,false,680.0,1500.0,42,38,SOBRE
16,false,1036.0,1800.0,43,39,SOBRE
12,false,1036.0,1800.0,44,40,SOBRE 
3,false,3740.0,6000.0,45,41,CAJA
4,false,1475.0,3000.0,46,42,CAJA
3,false,3537.0,6000.0,47,43,SOBRE
1,false,16957.0,25000.0,48,44,CAJA
8,false,3391.0,6000.0,49,44,BLISTER
64,false,339.0,600.0,50,44,UNIDAD
2,false,3053.0,6000.0,51,45,SOBRE
3,false,16000.0,30000.0,52,46,TARRO
2,false,5000.0,10000.0,53,47,CAJA
9,false,500.0,1000.0,54,47,UNIDAD
8,false,1500.0,3000.0,55,48,CAJA
1,false,12000.0,24000.0,56,49,CAJA 
2,false,4000.0,8000.0,57,49,BLISTER
20,false,400.0,800.0,58,49,UNIDAD
1,false,17500.0,35000.0,59,50,CAJA
1,false,700.0,1400.0,60,50,BLISTER 
1,false,2000.0,4000.0,61,51,FRASCO
2,false,14000.0,30000.0,62,52,CAJA
48,false,473.0,1000.0,63,52,BLISTER
2,false,3000.0,6000.0,64,53,CAJA
3,false,6000.0,11900.0,65,54,CAJA
3,false,2500.0,6000.0,66,55,CAJA
4,false,5000.0,13000.0,67,56,CAJA
1,false,6000.0,15000.0,68,57,CAJA
3,false,7000.0,27000.0,69,58,CAJA
2,false,3000.0,8500.0,70,59,CAJA
2,false,3000.0,8500.0,71,60,CAJA
1,false,3000.0,8500.0,72,61,CAJA
7,false,1480.0,35000.0,73,62,CAJA
7,false,1480.0,5000.0,74,62,UNIDAD
3,false,7590.0,17000.0,75,63,FRASCO
5,false,3819.0,7000.0,76,64,CAJA
4,false,2520.0,4000.0,77,65,CAJA
31,false,420.0,700.0,78,65,UNIDAD
2,false,8370.0,22000.0,79,66,CAJA
10,false,1674.0,4500.0,80,66,UNIDAD
1,false,8230.0,15000.0,81,67,CAJA
3,false,4115.0,8000.0,82,67,BLISTER 
33,false,411.0,800.0,83,67,UNIDAD
3,false,6810.0,12000.0,84,68,CAJA
3,false,13900.0,23000.0,85,69,CAJA
15,false,2780.0,5000.0,86,69,BLISTER
150,false,278.0,500.0,87,69,UNIDAD
1,false,107800.0,130000.0,88,70,CAJA
127,false,898.0,1200.0,89,70,UNIDAD
1,false,10311.0,15000.0,90,71,BOTELLA
2,false,3261.0,4700.0,91,72,TARRO
6,false,2303.0,4000.0,92,73,CAJA
1,false,17620.0,27000.0,93,74,CAJA
1,false,30.0,58000.0,94,75,CAJA
12,false,3863.0,6000.0,95,75,BLISTER
1,false,28800.0,35000.0,96,76,CAJA
13,false,2400.0,3200.0,97,76,SACHETS
1,false,18630.0,27000.0,98,77,CAJA
115,false,221.0,500.0,99,77,UNIDAD
4,false,4710.0,10000.0,100,78,CAJA
3,false,6460.0,10000.0,101,79,CAJA
30,false,646.0,1000.0,102,79,UNIDAD
1,false,23290.0,35000.0,103,80,CAJA
10,false,2330.0,4500.0,104,80,UNIDAD
1,false,21940.0,26400.0,105,81,CAJA
2,false,10970.0,13200.0,106,81,BLISTER
12,false,1828.0,2200.0,107,81,UNIDAD
1,false,16550.0,23700.0,108,82,CAJA
20,false,919.0,1400.0,109,82,SOBRE
6,false,3750.0,5400.0,110,83,TUBO
5,false,3750.0,5400.0,111,84,TUBO
6,false,3750.0,5400.0,112,85,TUBO
4,false,3750.0,5400.0,113,86,TUBO
2,false,10100.0,14400.0,114,87,CAJA
